,by,descendants,id,kids,score,time,title,type,url,text
0,memalign,171.0,38845510,"[38848687, 38846526, 38846217, 38850384, 38851919, 38849329, 38845935, 38846208, 38847857, 38846518, 38851801, 38851902, 38846198, 38846311, 38845585, 38847928, 38849921, 38847507, 38847098, 38847074, 38851458, 38846022, 38851638, 38847179, 38849041, 38847400, 38847116, 38849336, 38849858, 38849622, 38847641, 38849481, 38848848, 38846927, 38849274, 38848716, 38847351, 38846511, 38846940, 38846576, 38849135, 38850077, 38846921, 38849153, 38848169, 38849115, 38846361, 38846800, 38846309, 38846020, 38850039, 38847970, 38848747, 38845614, 38847578, 38847525, 38846725, 38849721, 38849681, 38849209, 38847374, 38848367, 38847479, 38848797, 38846030, 38846330, 38846279, 38849051, 38845988, 38846745, 38846390]",1345,1704222006,1D Pac-Man,story,https://abagames.github.io/crisp-game-lib-11-games/?pakupaku,
1,rodarima,113.0,38847613,"[38851948, 38851032, 38849534, 38848186, 38851647, 38848619, 38849949, 38848022, 38848464, 38850599, 38851581, 38849048, 38851691, 38849811, 38849471, 38849786, 38847812, 38848019, 38848160, 38848707, 38849313, 38849104, 38848482, 38848610, 38848207, 38849749, 38848402, 38849255, 38851582, 38848746, 38847686, 38847748, 38848241, 38847947, 38849040, 38849028, 38848776, 38847975, 38847962, 38847615, 38848929]",427,1704232508,Show HN: Resurrecting the Dillo browser,story,https://dillo-browser.github.io/,"Hi, in mid 2022 the host dillo.org expired [0], taking down the website, mercurial repo, the mailing list and the email server used to reach the core developers of Dillo. Someone bought it and now serves a weird clone of the original page with missing content.<p>[0]: <a href=""https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=32448104"">https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=32448104</a><p>I felt sad as I didn&#x27;t want it to die, so I got a copy of the repo from my hard disk, uploaded it to GitHub and decided to do some maintenance on the code to at least keep the build working. After some time, the folks at Atari Forum decided to use my repo to port it to the Atari platform and they managed to do it [1].<p>[1]: <a href=""https:&#x2F;&#x2F;github.com&#x2F;dillo-browser&#x2F;dillo&#x2F;issues&#x2F;34"">https:&#x2F;&#x2F;github.com&#x2F;dillo-browser&#x2F;dillo&#x2F;issues&#x2F;34</a><p>That gave me some motivation to work a bit more on the project to prevent it from dying. So I created an organization under the name of &quot;dillo-browser&quot; and made a new webpage [2] with a backup of the old one.<p>[2]: <a href=""https:&#x2F;&#x2F;dillo-browser.github.io&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;dillo-browser.github.io&#x2F;</a><p>With the help of Andreas Kemnade which had access to the original server, we managed to backup most of the stuff from the original website (including non-reachable pages) which I uploaded to the Archive.<p>In the meanwhile, I combined the support for both OpenSSL (1.1 and 3) and mbedTLS (2 and 3) as well as proper CI with rendering tests. We now build Dillo for Ubuntu, FreeBSD and macOS!<p>I also became familiar with the plugin mechanism in Dillo, which allows any program that uses the standard input and output to become a plugin registered to a given protocol (like file:&#x2F;&#x2F;...). I did a simple one (which is just a bash script) to read local manual pages which is handy to follow links to other pages [3], but check also the ones Charles E. Lehner did which are more advanced [4].<p>[3]: <a href=""https:&#x2F;&#x2F;github.com&#x2F;dillo-browser&#x2F;dillo-plugin-man"">https:&#x2F;&#x2F;github.com&#x2F;dillo-browser&#x2F;dillo-plugin-man</a>
[4]: <a href=""https:&#x2F;&#x2F;groups.google.com&#x2F;g&#x2F;dillo&#x2F;c&#x2F;WGEMg7AXN4o&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;groups.google.com&#x2F;g&#x2F;dillo&#x2F;c&#x2F;WGEMg7AXN4o&#x2F;</a><p>As of today, I&#x27;m unable to contact the main developer, Jorge Arellano Cid, which has not interacted with the mailing list for some years now. Jorge, if you read this, please contact with me (you can find my email in the git commits).<p>Regarding the future of Dillo, I&#x27;m planning to (finally) do the 3.1 release after some testing, and for that it would be convenient to have the help of some users to get some feedback ;-)<p>If you want to contribute, feel free to open a PR or send a patch (via GitHub or by email, I don&#x27;t care). Check also the current issues and pull requests to see what is pending or already being working on. I will probably setup a mailing list at some point too.<p>Thanks!
Rodrigo."
2,noteness,6.0,38850961,"[38851706, 38851550, 38851221, 38851664]",41,1704258482,A lightweight Lisp interpreter in Malbolge Unshackled,story,https://github.com/kspalaiologos/malbolge-lisp,
3,todsacerdoti,9.0,38850400,"[38850840, 38850842, 38850648]",55,1704252956,GCC Specs: An Introduction,story,https://wozniak.ca/blog/2024/01/02/1/index.html,
4,davikr,35.0,38841328,"[38850480, 38851898, 38851873, 38850859, 38851748, 38850660, 38850947, 38851232, 38851436, 38851591, 38850988, 38851214, 38849906, 38850940]",137,1704201569,A new approach to local multiplayer / splitscreen perspective with raytracing,story,https://ph3at.github.io/posts/Ray-Coop-Camera/,
5,SerCe,17.0,38850202,"[38851896, 38851823, 38851641, 38851886, 38851790, 38851718, 38851660, 38851680, 38851663]",70,1704251227,Sieve is simpler than LRU,story,https://cachemon.github.io/SIEVE-website/blog/2023/12/17/sieve-is-simpler-than-lru/,
6,nsajko,121.0,38844274,"[38844275, 38844977, 38849664, 38844995, 38846488, 38844817, 38849103, 38850118, 38845506, 38845501, 38845900, 38846012, 38849908, 38847039, 38849878, 38847936, 38850276, 38847819, 38845077, 38845687, 38845415, 38845195, 38846061, 38846946, 38845345, 38845013, 38845257, 38844895, 38845735, 38845895, 38846412, 38845949, 38844822, 38847025, 38847554, 38846891, 38849975, 38847520, 38845576]",511,1704216705,Do It Yourself Blind Repair,story,https://fixmyblinds.com/,
7,teleforce,4.0,38838944,[38851903],18,1704178700,50 Algorithms Every Programmer Should Know (Second Edition),story,https://www.oreilly.com/library/view/50-algorithms-every/9781803247762/,
8,weinzierl,9.0,38844117,"[38847412, 38851666, 38848137]",35,1704216018,Double encryption: Analyzing the NSA/GCHQ arguments against hybrids,story,https://blog.cr.yp.to/20240102-hybrid.html,
9,ukuina,1.0,38851446,[38851576],5,1704264489,Gemini in Reasoning: Unveiling Commonsense in Multimodal Large Language Models,story,https://arxiv.org/abs/2312.17661,
